customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
7924-KKKK,Female,0,No,No,15,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),27.29,Yes,412.93
5552-EEEE,Female,1,No,Yes,20,No,Yes,DSL,No,No internet service,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),99.79,No,1991.63
4527-YYYY,Female,0,No,Yes,44,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),112.11,Yes,4945.21
6514-DDDD,Male,1,Yes,Yes,61,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),109.92,No,6692.12
2519-MMMM,Female,0,Yes,Yes,30,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),74.59,No,2250.48
2584-LLLL,Male,1,Yes,No,41,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.17,Yes,2105.4
6635-TTTT,Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,82.56,Yes,911.39
5333-ZZZZ,Female,0,Yes,No,64,Yes,Yes,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),49.01,No,3146.98
1711-XXXX,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,59.68,No,4309.11
8527-RRRR,Female,0,Yes,No,2,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,63.05,Yes,126.11
3045-MMMM,Female,0,No,Yes,8,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),48.6,Yes,405.1
2291-RRRR,Female,0,No,Yes,50,Yes,No,No,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),52.6,No,2636.18
5803-UUUU,Female,1,Yes,No,15,Yes,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),18.98,Yes,279.22
6925-SSSS,Female,0,No,No,2,Yes,No,No,No,No internet service,Yes,No,No internet service,Yes,Two year,No,Mailed check,48.11,Yes,82.75
4150-WWWW,Male,0,Yes,No,23,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Mailed check,65.72,No,1522.3
2139-BBBB,Male,0,No,Yes,72,Yes,Yes,No,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,35.64,Yes,2566.07
4733-YYYY,Female,0,Yes,No,12,Yes,No,No,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,99.21,No,1172.6
5741-CCCC,Female,0,Yes,No,1,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),72.28,Yes,75.61
4814-DDDD,Female,0,No,No,70,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),98.04,No,6860.22
7227-IIII,Male,0,Yes,No,20,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),31.12,No,615.7
8428-UUUU,Female,0,No,No,18,Yes,Yes,No,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,100.71,No,1822.87
6977-FFFF,Male,0,Yes,No,46,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),114.56,No,5261.88
7065-LLLL,Male,0,Yes,No,21,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,53.67,No,1122.54
4432-VVVV,Male,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,46.79,No,1495.12
5374-WWWW,Male,0,No,No,31,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),83.26,No,2591.23
2169-TTTT,Male,0,No,Yes,63,Yes,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,82.16,No,5164.34
3803-RRRR,Female,0,Yes,Yes,38,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),29.55,Yes,1116.57
5010-FFFF,Female,0,No,No,71,Yes,Yes,No,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),111.39,No,7912.94
8573-MMMM,Female,1,Yes,Yes,41,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.4,Yes,2727.36
5422-UUUU,Female,0,No,Yes,8,Yes,No phone service,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.07,Yes,749.3
4598-VVVV,Female,1,No,No,24,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),54.36,No,1300.7
6313-YYYY,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),44.53,No,43.36
1916-HHHH,Female,0,Yes,No,18,No,Yes,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),29.43,Yes,532.62
1525-ZZZZ,Female,0,Yes,No,19,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.84,Yes,868.86
6168-MMMM,Male,1,Yes,No,69,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),118.09,No,8163.6
5386-CCCC,Female,0,Yes,No,16,Yes,No,No,No,No,No,No,Yes,No internet service,One year,No,Mailed check,84.37,No,1348.93
4456-SSSS,Male,1,No,Yes,67,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),98.93,No,6643.4
6155-GGGG,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,114.58,Yes,224.51
9179-MMMM,Male,0,Yes,Yes,50,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),26.19,No,1293.49
8517-EEEE,Female,0,Yes,No,25,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),34.8,No,895.11
5339-EEEE,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,111.51,Yes,6132.18
5040-XXXX,Male,0,No,Yes,63,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,No,Two year,No,Electronic check,74.99,No,4728.07
9830-IIII,Male,1,Yes,No,7,Yes,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Electronic check,82.05,No,559.85
8019-SSSS,Male,1,Yes,No,36,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,One year,Yes,Electronic check,61.23,Yes,2206.9
7543-LLLL,Male,0,No,Yes,26,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),100.1,No,2610.82
4593-EEEE,Male,0,No,No,44,Yes,No,No,No internet service,No internet service,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),70.23,No,3078.66
9348-PPPP,Male,0,No,Yes,3,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),101.28,Yes,302.41
2489-YYYY,Male,0,No,No,36,No,No phone service,No,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,117.96,Yes,4245.95
1771-DDDD,Male,1,Yes,No,70,Yes,No,No,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),83.25,No,5814.69
3504-UUUU,Female,0,No,Yes,32,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),71.4,Yes,2301.05
3621-ZZZZ,Female,0,No,No,30,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,54.95,No,1621.74
7916-TTTT,Male,0,Yes,Yes,54,No,No,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,37.82,Yes,2020.89
2040-MMMM,Female,0,Yes,Yes,11,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,84.24,Yes,927.7
7252-TTTT,Female,0,Yes,Yes,10,Yes,No phone service,No,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),24.55,Yes,235.55
8668-QQQQ,Female,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),114.36,No,8126.33
5119-RRRR,Female,0,Yes,No,31,Yes,No,No,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),83.33,No,2579.77
1188-VVVV,Male,0,No,Yes,56,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,114.67,No,6425.5
2876-VVVV,Female,1,No,No,37,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,45.61,No,1673.9
9797-YYYY,Male,0,No,No,59,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,113.37,Yes,6684.85
5371-YYYY,Female,0,Yes,No,18,No,Yes,No,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,79.77,Yes,1431.43
6573-DDDD,Female,0,No,Yes,55,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,99.68,Yes,5505.84
5808-NNNN,Female,0,Yes,No,13,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),36.23,No,466.46
3591-OOOO,Male,0,Yes,Yes,32,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,68.51,Yes,2169.43
1053-XXXX,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Two year,No,Electronic check,75.43,Yes,689.88
5315-QQQQ,Male,0,No,No,63,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),57.73,Yes,3634.55
3927-QQQQ,Female,0,No,Yes,63,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),43.7,Yes,2755.79
2743-UUUU,Male,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Mailed check,109.18,Yes,6656.53
5889-UUUU,Female,0,Yes,Yes,67,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),26.8,No,1782.84
9317-TTTT,Male,1,No,No,42,Yes,No phone service,No,No internet service,No,No,No,No,No,One year,No,Electronic check,33.73,No,1429.73
4258-EEEE,Male,0,No,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,50.46,Yes,2916.9
7126-YYYY,Female,0,No,No,51,Yes,Yes,No,No,No,No,Yes,Yes,No internet service,One year,Yes,Electronic check,110.69,No,5630.37
3646-RRRR,Male,0,No,No,18,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.95,No,1353.8
9689-AAAA,Female,0,No,No,20,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),55.75,No,1116.56
6310-PPPP,Female,0,Yes,Yes,21,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.72,No,1243.81
1319-DDDD,Female,0,Yes,Yes,8,Yes,No phone service,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),102.45,Yes,822.4
6947-ZZZZ,Female,1,Yes,Yes,8,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),20.94,Yes,166.77
6038-HHHH,Female,0,Yes,No,72,Yes,No phone service,No,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),19.39,No,1405.16
1949-HHHH,Female,0,No,Yes,26,Yes,No phone service,No,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),22.88,No,578.4
2290-CCCC,Female,0,Yes,Yes,16,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),65.41,Yes,1044.74
8962-CCCC,Female,0,No,Yes,43,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),76.67,No,3287.34
9727-YYYY,Female,0,Yes,Yes,44,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,81.01,Yes,3566.97
3060-EEEE,Female,0,Yes,Yes,7,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,91.73,No,650.27
8787-RRRR,Female,0,Yes,Yes,17,No,No phone service,No,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,37.32,Yes,637.23
3705-IIII,Male,1,No,Yes,32,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),44.61,No,1434.61
9645-TTTT,Male,0,No,Yes,0,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),42.72,No, 
7932-GGGG,Female,0,Yes,Yes,5,No,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),33.24,Yes,178.59
9835-YYYY,Female,0,No,Yes,40,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),42.81,No,1717.43
4295-WWWW,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,One year,No,Mailed check,79.92,No,4323.09
6107-MMMM,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,One year,No,Electronic check,55.07,Yes,239.03
7118-OOOO,Female,0,Yes,Yes,58,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),95.43,No,5561.34
9479-OOOO,Female,0,No,No,17,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),72.16,No,1225.15
2982-HHHH,Female,1,Yes,No,48,No,No,Fiber optic,No internet service,No internet service,No,No,No,No,Two year,Yes,Credit card (automatic),39.56,No,1889.48
4681-CCCC,Female,0,Yes,Yes,64,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,65.22,No,4148.29
6539-AAAA,Male,0,Yes,Yes,53,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,77.88,Yes,4146.89
4770-SSSS,Female,1,No,Yes,60,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,105.3,Yes,6312.32
4608-AAAA,Male,0,Yes,No,7,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.04,Yes,718.91
2163-WWWW,Female,0,No,Yes,2,Yes,No phone service,No,No,No internet service,No internet service,No,No,No internet service,One year,No,Credit card (automatic),61.11,No,128.82
1964-HHHH,Female,0,Yes,No,24,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,One year,Yes,Credit card (automatic),83.34,No,2008.21
2104-BBBB,Male,0,No,Yes,68,Yes,No,No,No,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,48.18,Yes,3273.73
6413-CCCC,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,One year,No,Credit card (automatic),81.87,No,4428.93
9423-HHHH,Male,1,Yes,No,39,No,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,109.99,No,4295.03
5562-VVVV,Female,0,No,Yes,49,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Two year,No,Bank transfer (automatic),81.02,Yes,3963.2
8953-GGGG,Female,0,No,Yes,32,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,48.78,Yes,1577.22
9834-EEEE,Male,0,Yes,No,17,Yes,No,No,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,82.97,No,1417.26
8744-HHHH,Female,0,No,No,56,Yes,No,No,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),108.98,No,6090.04
8749-ZZZZ,Male,0,Yes,Yes,15,Yes,No,No,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,32.02,No,476.58
7669-GGGG,Female,0,Yes,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,66.74,No,2465.44
2545-DDDD,Male,1,Yes,No,40,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,50.52,Yes,2015.1
8062-LLLL,Male,0,No,Yes,6,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),42.52,Yes,261.23
7939-NNNN,Female,0,Yes,No,52,No,No phone service,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),58.07,Yes,3032.55
8651-XXXX,Female,0,No,Yes,62,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),57.84,No,3575.14
1887-VVVV,Male,0,Yes,Yes,31,No,No,No,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,39.4,Yes,1217.83
2612-BBBB,Female,0,No,Yes,37,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),58.81,Yes,2187.43
7596-XXXX,Female,0,No,No,21,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,81.94,No,1712.34
6559-ZZZZ,Female,0,Yes,Yes,15,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),20.84,No,305.46
2790-HHHH,Male,0,No,No,51,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,117.67,Yes,5978.65
4139-GGGG,Male,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),47.99,Yes,1351.41
9786-OOOO,Male,0,Yes,No,15,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),80.93,Yes,1215.97
3296-NNNN,Male,1,Yes,No,16,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),46.75,No,744.66
4006-IIII,Male,0,Yes,Yes,63,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.8,Yes,3625.34
8579-HHHH,Male,0,Yes,No,12,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.45,No,877.97
2235-OOOO,Male,0,No,No,71,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.74,Yes,5642.31
2604-BBBB,Male,1,Yes,No,55,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,95.68,Yes,5260.65
9856-AAAA,Male,1,No,No,4,Yes,Yes,No,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Mailed check,97.81,Yes,410.45
2528-YYYY,Female,0,No,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,70.38,Yes,776.14
4872-FFFF,Male,1,Yes,Yes,40,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),25.86,Yes,1046.72
7658-PPPP,Female,0,No,Yes,2,Yes,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),74.31,Yes,161.67
8886-GGGG,Female,0,Yes,No,32,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),66.25,No,2114.72
7570-BBBB,Female,0,No,No,49,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),39.9,No,1961.28
3697-MMMM,Male,0,No,Yes,55,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,Yes,One year,No,Credit card (automatic),19.27,Yes,1032.54
1035-MMMM,Male,0,No,Yes,8,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),50.0,No,402.81
5345-ZZZZ,Male,1,Yes,No,49,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),44.33,Yes,2182.93
8454-JJJJ,Male,0,No,Yes,28,No,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,66.78,Yes,1875.06
7930-WWWW,Female,0,Yes,Yes,38,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),94.79,Yes,3598.43
8973-EEEE,Male,0,No,No,44,Yes,No,No,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),62.37,No,2756.84
4111-JJJJ,Male,0,No,Yes,16,Yes,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Credit card (automatic),113.88,No,1833.45
4566-BBBB,Male,0,No,No,55,Yes,No,No,No,Yes,No internet service,No internet service,No,No internet service,One year,No,Mailed check,40.49,No,2226.46
9883-BBBB,Male,0,No,Yes,45,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.46,Yes,1835.61
6138-BBBB,Male,0,Yes,No,66,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),79.0,No,5219.18
1821-SSSS,Female,1,Yes,No,68,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),108.32,No,7349.66
8811-QQQQ,Male,0,No,No,13,No,No,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,85.77,Yes,1118.21
9701-FFFF,Female,0,No,No,66,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.95,Yes,5665.53
1931-QQQQ,Male,0,Yes,No,22,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,99.28,No,2189.13
2312-FFFF,Female,0,Yes,Yes,60,No,No,DSL,No internet service,Yes,No,No,No,No,One year,No,Credit card (automatic),85.45,Yes,5090.63
2122-TTTT,Male,0,Yes,Yes,22,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,No,Electronic check,94.56,No,2096.26
2113-VVVV,Male,0,Yes,Yes,26,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),105.3,No,2748.97
4853-MMMM,Female,1,No,No,53,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,19.05,No,1025.55
2964-SSSS,Female,0,No,Yes,9,No,No phone service,No,No,No internet service,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),107.26,Yes,965.24
5033-SSSS,Female,1,Yes,No,15,Yes,No phone service,No,No,Yes,No internet service,No,No,No,Month-to-month,No,Mailed check,39.88,No,609.76
